Code,Class,Sub_Class,Ward_No,Rd_ID,Rd_Name,Locality,Colony,No_floors,Cons_type,Area,Descr,Bldg_Id,SHEET_ID,Shape_Leng,Shape_Le_1,Shape_Length,Shape_Area,height_m
61,7,Retail,67,RD_5650, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_162142A,365,21.321128104800000,21.321128104800000,21.321128104833893,27.209427780011332,3.5000000
305,33,Building under construction,67,RD_5650, ,CHAKKAROTHKULAM, ,2,P,0.000000000000000, ,BL_162138A,365,23.817342309299999,23.817342309299999,23.817342309280821,34.765328924014085,7.0000000
A,6,House,67,RD_5212A, ,CHAKKAROTHKULAM, ,2,P,0.000000000000000, ,BL_167942A,365,30.505433192400002,30.505433192400002,30.505433192425659,58.077850493736889,7.0000000
A,6,House,67,RD_5154A, ,CHAKKAROTHKULAM, ,2,P,0.000000000000000, ,BL_150801A,365,34.939812647099998,34.939812647099998,34.939812647065551,73.766772350845145,7.0000000
305,33,Building under construction,66,RD_2468A, ,CHAKKAROTHKULAM, ,0,P,0.000000000000000, ,BL_129827A,365,40.419761750600003,40.419761750600003,40.419761750552908,97.424040541987253,0.0000000
305,33,Building under construction,67,RD_5154A, ,CHAKKAROTHKULAM, ,0,P,0.000000000000000, ,BL_135808A,365,42.333399999900003,42.333399999900003,42.333399999886751,102.748969659264702,0.0000000
305,33,Building under construction,68,RD_4846, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,0, ,0.000000000000000, ,BL_161303A,365,30.352437525700001,30.352437525700001,30.352437525667867,57.119781056276253,0.0000000
305,33,Building under construction,68,RD_5254A, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,0, ,0.000000000000000, ,BL_163723A,365,24.193139143600000,24.193139143600000,24.193139143559318,33.789054519507246,0.0000000
61,7,Retail,67,RD_5212, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_149935A,365,15.886105418500000,15.886105418500000,15.886105418466075,15.146255701554196,3.5000000
V,6, ,68,RD_5152, ,CHAKKAROTHKULAM, ,0, ,0.000000000000000,V,BL_162654A,365,34.129739681600000,34.129739681600000,34.129739681589612,61.429196864284428,0.0000000
305,33,Building under construction,68,RD_5152, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,0,P,0.000000000000000, ,BL_162530A,365,30.751801865499999,30.751801865499999,30.751801865499466,58.662668980360102,0.0000000
